Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.20,-.11,-.09,-.12,-.05,-.07,-.13
1898,-.02,-.30,-.51,-.31,-.30,-.19,-.23,-.27,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.23,-.31
1899,-.16,-.38,-.36,-.20,-.22,-.31,-.16,-.08,-.05,-.04,.13,-.26,-.17,-.17,-.26,-.26,-.18,.01
1900,-.35,-.05,.01,-.09,-.08,-.09,-.13,-.08,-.05,.10,-.06,-.06,-.08,-.10,-.22,-.05,-.10,.00
1901,-.21,-.10,.06,-.02,-.14,-.11,-.14,-.20,-.22,-.28,-.17,-.27,-.15,-.13,-.13,-.03,-.15,-.22
1902,-.17,-.05,-.27,-.27,-.31,-.29,-.27,-.29,-.28,-.28,-.35,-.41,-.27,-.26,-.16,-.28,-.29,-.30
1903,-.23,-.05,-.22,-.40,-.39,-.41,-.34,-.45,-.49,-.47,-.42,-.50,-.37,-.36,-.23,-.34,-.40,-.46
1904,-.63,-.57,-.48,-.50,-.51,-.48,-.51,-.49,-.55,-.39,-.17,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.34,-.58,-.21,-.33,-.29,-.28,-.26,-.20,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.25,-.19,-.23,-.20,-.28,-.20,-.37,-.15,-.22,-.22,-.23,-.16,-.20,-.28
1907,-.43,-.51,-.27,-.37,-.46,-.41,-.35,-.34,-.34,-.22,-.46,-.46,-.38,-.36,-.36,-.36,-.37,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.36,-.44,-.52,-.49,-.43,-.42,-.41,-.45,-.40,-.44
1909,-.72,-.46,-.54,-.59,-.54,-.52,-.45,-.33,-.39,-.39,-.32,-.56,-.48,-.48,-.56,-.56,-.43,-.36
1910,-.42,-.41,-.50,-.42,-.33,-.38,-.34,-.36,-.39,-.41,-.55,-.67,-.43,-.42,-.46,-.42,-.36,-.45
1911,-.62,-.57,-.61,-.53,-.51,-.50,-.41,-.44,-.41,-.26,-.21,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.25,-.14,-.38,-.18,-.21,-.24,-.42,-.54,-.58,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.45,-.42,-.39,-.44,-.45,-.36,-.33,-.35,-.32,-.20,-.02,-.34,-.38,-.42,-.42,-.38,-.29
1914,.05,-.09,-.24,-.29,-.21,-.25,-.23,-.16,-.16,-.03,-.15,-.04,-.15,-.15,-.02,-.25,-.21,-.12
1915,-.20,-.04,-.10,.06,-.06,-.22,-.12,-.22,-.21,-.24,-.13,-.22,-.14,-.13,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.55,-.55,-.44,-.25,-.22,-.23,-.44,-.34,-.67,-.46,-.47,-.67,-.58,-.30,-.33
1918,-.47,-.34,-.24,-.44,-.43,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.33,-.49,-.37,-.33,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.24,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.26,-.22,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.30,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.14,-.26,-.19,-.03,-.13,-.17,-.19,-.21,-.22,-.27,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.31,-.27,-.32,-.36,-.32,-.14,-.18,-.28,-.28,-.31,-.23,-.30,-.27
1923,-.27,-.39,-.34,-.40,-.33,-.29,-.30,-.32,-.31,-.13,-.02,-.04,-.26,-.27,-.28,-.36,-.31,-.15
1924,-.23,-.23,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.27,-.25,-.29,-.32,-.26,-.20,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.10
1926,.20,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.10
1927,-.27,-.18,-.38,-.30,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-.22,-.21,-.25,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.27,-.30,-.39,-.19,-.22,-.21,-.18,-.09,-.16,-.20,-.21,-.14,-.27,-.27,-.16
1929,-.45,-.58,-.32,-.41,-.38,-.43,-.36,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.29,-.26,-.11,-.25,-.23,-.22,-.21,-.15,-.15,-.12,.18,-.05,-.15,-.20,-.36,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.22,-.19,-.08,-.03,-.03,-.07,.05,-.05,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.16,-.16,-.17,-.05,-.16,-.28,-.24,-.22,-.10,-.08,-.27,-.25,-.15,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.28,-.34,-.21,-.23,-.29,-.25,-.30,-.44,-.28,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.09,-.15,-.10,-.12,-.15,-.06,.04,-.02,-.12,-.16,-.22,-.23,-.12,-.06
1935,-.33,.14,-.14,-.36,-.28,-.27,-.21,-.22,-.21,-.05,-.25,-.16,-.20,-.18,-.07,-.26,-.23,-.17
1936,-.27,-.37,-.21,-.20,-.16,-.21,-.09,-.13,-.09,-.02,.02,.00,-.14,-.16,-.27,-.19,-.14,-.03
1937,-.07,.03,-.20,-.16,-.05,-.05,-.03,.02,.09,.09,.09,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.08,.04,.10,.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.01,.02,.02,-.10,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.06,-.06,-.07,-.03,.07,.44,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.18,.11,.12,.13,.07,.15,.12,.17,.32,.13,.14,.17,.13,.10,.15
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.20,.27,.14,.17,.20
1942,.30,.03,.05,.10,.11,.05,.01,-.04,-.03,.02,.10,.13,.07,.08,.18,.09,.01,.03
1943,-.01,.18,-.03,.11,.07,-.05,.09,.01,.05,.23,.20,.24,.09,.08,.10,.05,.02,.16
1944,.36,.25,.26,.19,.19,.15,.18,.18,.28,.27,.11,.04,.20,.22,.28,.21,.17,.22
1945,.10,.01,.06,.19,.06,.00,.03,.26,.20,.19,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.02,.06,-.07,-.21,-.12,-.20,-.08,-.07,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.07,.06,-.02,-.02,-.04,-.07,-.12,.07,.03,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.07,-.14,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.23,-.10,-.10,-.07,-.12,-.09,-.10
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.12,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-.07,-.17,-.10
1950,-.26,-.27,-.07,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.23,-.13,-.10,-.21
